Code Number,Summary
4144F,The provider advises the intake of an alternative long term control medication to a patient with a diagnosis of persistent asthma.
4145F,No Summary found for this code
4148F,The provider uses this code to indicate that a patient was given an immunity vaccine against the hepatitis A virus.
4149F,A provider documents that a patient 18 years of age or older with hepatitis C is administered or has previously received a hepatitis B vaccine injection.
4150F,No Summary found for this code
4151F,This code describes a situation where a patient suffering from hepatitis C did not start or is not on an antiviral therapy because of different reasons.
4152F,No Summary found for this code
4153F,No Summary found for this code
4154F,No Summary found for this code
4155F,No Summary found for this code
4156F,No Summary found for this code
4157F,No Summary found for this code
4158F,No Summary found for this code
4159F,No Summary found for this code
4163F,No Summary found for this code
4164F,No Summary found for this code
4165F,No Summary found for this code
4167F,No Summary found for this code
4168F,No Summary found for this code
4169F,No Summary found for this code
4171F,"The provider prescribes erythropoiesis stimulating agent therapy to treat anemia in a patient with chronic kidney disease, or CKD."
4172F,"The provider does not prescribe erythropoiesis stimulating agent therapy to treat anemia in a patient with chronic kidney disease, or CKD."
4174F,No Summary found for this code
4175F,"The patient undergoes a lens replacement surgery due to a cataract to gain better visual acuity, which he achieves within 90 days of the surgery. A cataract is a clouding or opacity of the lens in the eyes that leads to a gradual loss of vision over time. Cataracts may cause blindness if left untreated. The patients suffer difficulty in reading, writing, and driving."
4176F,No Summary found for this code
4177F,No Summary found for this code
4178F,No Summary found for this code
4179F,"The provider prescribes tamoxifen or an aromatase inhibitor to a female patient, 18 years of age or older, with breast cancer. Aromatase is an enzyme that synthesizes estrogen, which is essential for the growth of breast cancer. Tamoxifen inhibits the formation of estrogen and thereby prevents the growth of these cancer cells."
4180F,No Summary found for this code
4181F,No Summary found for this code
4182F,No Summary found for this code
4185F,No Summary found for this code
4186F,No Summary found for this code
4187F,The provider reports this code to indicate that he prescribes or dispenses a disease modifying antirheumatic drug therapy to a patient. Disease modifying antirheumatic drugs are a group of medications that the provider uses for patients with rheumatoid arthritis to decrease pain and inflammation by suppressing the body’s overactive immune and inflammatory system.
4188F,No Summary found for this code
4189F,No Summary found for this code
4190F,No Summary found for this code
4191F,No Summary found for this code
4192F,No Summary found for this code
4193F,No Summary found for this code
4194F,"The provider reports this code when a patient with rheumatoid arthritis, or RA, is receiving greater than or equal to 10 mg of prednisone, a medication to treat inflammation, or swelling, for a duration of more than six months without any improvement in the disease activity."
4195F,The provider uses this code to report that he prescribes a disease modifying antirheumatic drug therapy for the first time to a patient with rheumatoid arthritis. Disease modifying antirheumatic drugs are a group of medications that the provider uses in patients with rheumatoid arthritis to decrease pain and inflammation by suppressing the body’s overactive immune and inflammatory systems.
4196F,The provider prescribes a disease modifying antirheumatic drug therapy for a patient with rheumatoid arthritis but the patient is not receiving this therapy for the first time. Disease modifying antirheumatic drugs are a group of medications that the provider uses in patients with rheumatoid arthritis to decrease pain and inflammation by suppressing the body’s overactive immune and inflammatory systems. 
4200F,No Summary found for this code
4201F,No Summary found for this code
4210F,No Summary found for this code
4220F,No Summary found for this code
4221F,No Summary found for this code
4230F,No Summary found for this code
4240F,No Summary found for this code
4242F,No Summary found for this code
4245F,The provider sees the patient who presents for the first time with a complaint of back pain. He examines the patient and advises to maintain or resume normal activities.
4248F,The provider sees the patient who presents for the first time with a complaint of back pain. He examines the patient and offers advice against bed rest lasting four days or longer.
4250F,No Summary found for this code
4255F,No Summary found for this code
4256F,Documentation states that the patient undergoes anesthesia for less than an hour.
4260F,No Summary found for this code
4261F,No Summary found for this code
4265F,No Summary found for this code
4266F,No Summary found for this code
4267F,No Summary found for this code
4268F,No Summary found for this code
4269F,No Summary found for this code
4270F,No Summary found for this code
4271F,No Summary found for this code
4274F,No Summary found for this code
4275F,No Summary found for this code
4276F,No Summary found for this code
4279F,No Summary found for this code
4280F,No Summary found for this code
4290F,No Summary found for this code
4293F,No Summary found for this code
4300F,No Summary found for this code
4301F,No Summary found for this code
4305F,No Summary found for this code
4306F,No Summary found for this code
4320F,No Summary found for this code
4322F,The provider educates the caregiver of a patient with dementia regarding management of the disease and behavior changes to expect. The provider also offers additional resources for support of the patient and caregiver.
4324F,No Summary found for this code
4325F,"The provider discusses the medical and surgical treatment options with a patient with Parkinson’s disease to reduce or overcome the disorder. Parkinson’s disease is a form of a progressive nervous system disorder, which has tremors as the main characteristic. Patients also suffer from stiffness, disturbed posture, and sleep abnormalities during the course of the disease."
4326F,No Summary found for this code
4328F,"The provider inquires about a Parkinson’s patients sleep disorders in order to plan treatment efficiently.  Parkinson’s disease is a form of a progressive nervous system disorder, which has tremors as the main characteristic. Patients also suffer from stiffness, disturbed posture, and sleep abnormalities during the course of the disease."
4330F,No Summary found for this code
4340F,No Summary found for this code
4350F,No Summary found for this code
4400F,"The provider discusses the rehabilitation therapy options that a patient with Parkinson’s disease has to reduce or overcome the effects of the disorder. Parkinson’s disease is a form of a progressive nervous system disorder, which has tremors as the main characteristic. Patients also suffer from stiffness, disturbed posture, and sleep abnormalities during the course of the disease."
4450F,No Summary found for this code
4470F,No Summary found for this code
4480F,No Summary found for this code
4481F,No Summary found for this code
4500F,No Summary found for this code
4510F,No Summary found for this code
4525F,"The provider orders a neuropsychiatric intervention for a patient with dementia to help improve his condition. The intervention includes medications, cognitive and behavioral therapy, and education."
4526F,"A patient with dementia receives neuropsychiatric intervention to help improve his condition. The intervention includes medications, cognitive and behavioral therapy, and education."
4540F,No Summary found for this code
4541F,No Summary found for this code
4550F,No Summary found for this code
4551F,No Summary found for this code
4552F,No Summary found for this code
4553F,No Summary found for this code
4554F,No Summary found for this code
4555F,No Summary found for this code
4556F,No Summary found for this code
4557F,No Summary found for this code
4558F,No Summary found for this code
4559F,No Summary found for this code
4560F,No Summary found for this code
4561F,The physician reports this Perioperative 2 measure code to indicate a patient with a coronary stent received aspirin within the 24 hours before anesthesia started.
4562F,The physician reports this Perioperative 2 measure code to indicate a patient who received anesthesia does not have a coronary stent.
4563F,The physician reports this Perioperative 2 measure code to indicate a patient with a coronary stent received aspirin within the 24 hours before anesthesia started.
5005F,No Summary found for this code
5010F,No Summary found for this code
5015F,No Summary found for this code
5020F,No Summary found for this code
5050F,No Summary found for this code
5060F,No Summary found for this code
5062F,No Summary found for this code
5100F,No Summary found for this code
5200F,"Use this code to document that a provider has, with the past three years, considered referring a patient to a neurosurgical specialist to evaluate whether the patient is a candidate for surgical therapy to treat intractable epilepsy."
5250F,No Summary found for this code
6005F,No Summary found for this code
6010F,No Summary found for this code
6015F,No Summary found for this code
6020F,No Summary found for this code
6030F,"This code is a performance measure code used for tracking adherence by clinicians and healthcare personnel to sterile procedures. Use this code to report that all elements of sterile barrier technique, hand washing hygiene, skin preparation and, if ultrasound is used, sterile ultrasound techniques followed (CRIT) have been adhered to, to maximal extent."
6040F,No Summary found for this code
6045F,No Summary found for this code
6070F,No Summary found for this code
6080F,No Summary found for this code
6090F,No Summary found for this code
6100F,No Summary found for this code
6101F,The provider offers counseling to a patient with dementia regarding safety concerns. He may counsel the patient and their guardian or caregiver as well.
6102F,"The provider orders counseling for a patient with dementia regarding safety concerns. He may order the counseling for the patient and their guardian, or caregiver, as well."
6110F,"The provider offers counseling to a patient with dementia regarding the risks of driving and the alternatives available to driving. He may counsel the patient and their guardian, or caregiver, as well."
6150F,A patient with inflammatory bowel disease (IBD) is not receiving a first course of a tumor necrosis factor (TNF) inhibitor.
7010F,No Summary found for this code
7020F,No Summary found for this code
7025F,No Summary found for this code
9001F,"The provider documents an aortic aneurysm, a weakened, bulging section of the largest artery in the body, with a maximum diameter of less than 5.0 cm on a computed tomographic (CT) imaging study."
9002F,"The provider documents an aortic aneurysm, a weakened, bulging section of the largest artery in the body, with a diameter of 5.0 to 5.4 cm on a computed tomographic (CT) imaging study."
9003F,"The provider documents an aortic aneurysm, a weakened, bulging section of the largest artery in the body, with a diameter of 5.5 to 5.9 cm on a computed tomographic (CT) imaging study."
9004F,"The provider documents an aortic aneurysm, a weakened, bulging section of the largest artery in the body, with a maximum diameter of 6.0 cm or greater on a computed tomographic (CT) imaging study."
9005F,The provider documents that a patient with carotid artery stenosis is asymptomatic as there is no history of transient ischemic attack or stroke in a major artery in the neck or back of the brain.
9006F,The provider documents that a patient with carotid artery stenosis is symptomatic as there is evidence of an ipsilateral transient ischemic attack or stroke within 120 days before a surgical procedure.
0042T,The provider obtains a measurement of regional cerebral blood flow through analysis of computed tomography (CT) scans by taking sequential images of sections of the brain while administering intravenous contrast. This procedure is done to evaluate patients suspected of having a stroke.
0043T,No Summary found for this code
0044T,No Summary found for this code
0045T,No Summary found for this code
0046T,No Summary found for this code
0047T,No Summary found for this code
0048T,No Summary found for this code
0049T,No Summary found for this code
0050T,No Summary found for this code
0051T,No Summary found for this code
0052T,No Summary found for this code
0053T,No Summary found for this code
0054T,The provider uses a computer equipped with surgical navigation technology to help guide and validate the type and position of an orthopedic implant using fluoroscopy. A provider uses this service most often to assist with accurate placement and positioning of the implant prosthesis in reconstruction or replacement of a knee or hip.
0055T,"The provider uses a computer equipped with surgical navigation technology to help guide and validate the type and position of an orthopedic implant using computed tomography, or CT, or magnetic resonance imaging, or MRI. A provider uses this service most often to assist with accurate placement and positioning of the implant prosthesis in reconstruction or replacement of a knee or hip."
0056T,No Summary found for this code
0057T,No Summary found for this code
0058T,No Summary found for this code
0059T,No Summary found for this code
0060T,No Summary found for this code
0061T,No Summary found for this code
0062T,No Summary found for this code
0063T,No Summary found for this code
0064T,No Summary found for this code
0065T,No Summary found for this code
0066T,No Summary found for this code
0067T,No Summary found for this code
0068T,No Summary found for this code
0069T,No Summary found for this code
0070T,No Summary found for this code
0071T,"The provider uses magnetic resonance imaging guided focused ultrasound, or MRgFUS, to heat and destroy a noncancerous growth of the uterus, called a leiomyomata, whose total volume is not greater than 200 cc of tissue.  The procedure is done with a patient inside a magnetic resonance imaging scanner, which monitors temperature and guides the provider to the precise location of the leiomyomata, or uterine fibroids."
0072T,"The provider uses magnetic resonance imaging guided focused ultrasound, or MRgFUS, to heat and destroy a noncancerous growth of the uterus, called a leiomyomata, whose total volume is 200 cc of tissue or greater. The procedure is done with a patient inside a magnetic resonance imaging scanner, which monitors temperature and guides the provider to the precise location of the leiomyomata, or uterine fibroids."
0073T,No Summary found for this code
0075T,"In this procedure, the provider places a stent through an incision in the skin into a vessel of the extracranial vertebral artery, to treat a stenosis or blockage. This code includes imaging for determination of the need for stenting along with radiological supervision and interpretation of same."
0076T,"In this procedure, at the same time as placement of an initial stent, the provider places an additional stent through an incision in the skin into an additional vessel of the extracranial vertebral artery to treat stenosis or blockage. This procedure includes imaging to determine the need for stent placement along with radiologic supervision and interpretation."
0077T,No Summary found for this code
0078T,No Summary found for this code
0079T,No Summary found for this code
0080T,No Summary found for this code
0081T,No Summary found for this code
0082T,No Summary found for this code
0083T,No Summary found for this code
0084T,No Summary found for this code
0085T,No Summary found for this code
0086T,No Summary found for this code
0087T,No Summary found for this code
0088T,No Summary found for this code
0089T,No Summary found for this code
0090T,No Summary found for this code
0091T,No Summary found for this code
0092T,No Summary found for this code
0093T,No Summary found for this code
0094T,No Summary found for this code
0095T,"In this add–on procedure, the provider removes another artificial disc in another cervical interspace at the same operative session as an initial cervical artificial disc removal."
0096T,No Summary found for this code
0097T,No Summary found for this code
0098T,"In this add–on procedure, the provider revises and replaces another artificial disc in another cervical interspace at the same operative session as an initial cervical artificial disc repair. This procedure may be done when the arthroplasty device moves out of place or is damaged."
0099T,No Summary found for this code
0100T,"The provider attaches a retinal prosthesis (artificial retina) to the patient’s retina to induce some visual perception by restoring the distinction between the presence and absence of light. The prosthetic, made of silicone and platinum, replaces lost light sensitivity of the retina by transmitting external images to an array of electrodes the provider also places in the epiretinal space. This procedure is done for retinal diseases, such as retinitis pigmentosa, hereditary retinal disorders, and some forms of age–related macular degeneration."
0101T,The provider applies a high–energy shock wave to a painful musculoskeletal area at a location other than those identified by another CPT® code.
0102T,"The provider applies a high–energy shock wave treatment to the lateral humeral epicondyle. This procedure requires anesthesia other than a local anesthetic. This service is done to treat epicondylitis, or tennis elbow, a repetitive or overuse injury of the elbow."
0103T,No Summary found for this code
0104T,No Summary found for this code
0105T,No Summary found for this code
0106T,The provider determines a patient’s pressure touch sensitivity threshold by applying pressure touch stimuli to the skin of an extremity and comparing the results to normal values. This noninvasive evaluation is done to assess and quantify sensory nerve function of an extremity for diagnosing peripheral nervous system disorders such as sensory nerve damage.
0107T,The provider determines a patient’s vibration sensation threshold by stimulating the skin of an extremity and comparing the results to normal values. This service is done to assess and quantify the sensory function of an extremity for diagnosing damage to large nerve endings.
0108T,The provider determines the sensation and pain thresholds for cold temperatures by stimulating the skin of an extremity and comparing the results to normal values. This service is done to assess and quantify the cooling sensory function of an extremity for diagnosing damage to small nerve endings.
0109T,The provider determines the sensation and pain thresholds for warm temperatures by stimulating the skin of an extremity and comparing the results to normal values. This service is done to assess and quantify the heat pain sensory function of an extremity for diagnosing damage to small nerve endings.
0110T,"The provider determines the sensation and pain thresholds for other stimuli except pressure, vibration, cold, or heat on an extremity and compares the results to normal values. This service is done to assess and quantify the sensory function of an extremity for diagnosing peripheral nervous system disorders such as sensory nerve damage."
0111T,No Summary found for this code
0115T,No Summary found for this code
0116T,No Summary found for this code
0117T,No Summary found for this code
0120T,No Summary found for this code
0123T,No Summary found for this code
0124T,No Summary found for this code
0126T,No Summary found for this code
0130T,No Summary found for this code
0133T,No Summary found for this code
0135T,No Summary found for this code
0137T,No Summary found for this code
0140T,No Summary found for this code
0141T,No Summary found for this code
0142T,No Summary found for this code
0143T,No Summary found for this code
0144T,No Summary found for this code
0145T,No Summary found for this code
0146T,No Summary found for this code
0147T,No Summary found for this code
0148T,No Summary found for this code
0149T,No Summary found for this code
0150T,No Summary found for this code
0151T,No Summary found for this code
0153T,No Summary found for this code
0154T,No Summary found for this code
0155T,No Summary found for this code
0156T,No Summary found for this code
0157T,No Summary found for this code
0158T,No Summary found for this code
0159T,No Summary found for this code
0160T,No Summary found for this code
0161T,No Summary found for this code
0162T,No Summary found for this code
0163T,"In this add on procedure, the provider places another artificial disc into another lumbar interspace at the same operative session as an initial disc placement. This procedure primarily treats degenerative disc disease   but is not done for decompression of the spine. Total disc arthroplasty describes the use of an artificial disc to replace a disc of the lumbar spine to treat conditions such as degenerative disc disease or damage due to trauma."
0164T,"In this add on procedure, the provider removes another artificial disc in another lumbar interspace at the same operative session as an initial disc placement. Total disc arthroplasty describes the use of an artificial disc to replace a disc of the lumbar spine to treat conditions such as degenerative disc disease or damage due to trauma."
0165T,"In this add on procedure, the provider revises and replaces another artificial disc in another lumbar interspace at the same operative session as an initial lumbar artificial disc repair. The provider performs this procedure for movement or damage of an arthroplasty device. Total disc arthroplasty describes the use of an artificial disc to replace a disc of the lumbar spine to treat conditions such as degenerative disc disease , or damage due to trauma."
0166T,No Summary found for this code
0167T,No Summary found for this code
0168T,No Summary found for this code
0169T,No Summary found for this code
0170T,No Summary found for this code
0171T,No Summary found for this code
0172T,No Summary found for this code
0173T,No Summary found for this code
0174T,The provider uses specially designed computer software to identify potential abnormalities within chest radiographs. He uses the software at the same site and time as his initial X–ray interpretation.
0175T,The provider uses specially designed computer software to identify potential abnormalities within chest radiographs. The same provider may not be responsible for carrying out both CAD and the patient’s initial X–ray interpretation.
0176T,No Summary found for this code
0177T,No Summary found for this code
0178T,No Summary found for this code
0179T,No Summary found for this code
0180T,No Summary found for this code
0181T,No Summary found for this code
0182T,No Summary found for this code
0183T,No Summary found for this code
0184T,"In this procedure, the provider identifies and removes a rectal tumor using a proctoscope with the goal of leaving the anus unharmed. He does this using the transanal endoscopic microsurgical approach."
0185T,No Summary found for this code
0186T,No Summary found for this code
0187T,No Summary found for this code
0188T,No Summary found for this code
0189T,No Summary found for this code
0190T,No Summary found for this code
0191T,"The provider drains, for the first time, the aqueous fluid from the eye to lower intraocular pressure in a patient with glaucoma. "
0192T,No Summary found for this code
0193T,No Summary found for this code
0194T,No Summary found for this code
0195T,No Summary found for this code
0196T,No Summary found for this code
0197T,No Summary found for this code
0198T,The provider measures intraocular pressure using a tonometer and relates it with ocular blood flow. This data is valuable in patients with glaucoma. The provider then interprets the values of the ocular blood flow and completes a report on the findings.
0199T,No Summary found for this code
0200T,The provider injects cement material through a needle to one side of a fractured sacrum. The provider may perform this augmentation by creating a cavity in the vertebral body using a balloon or mechanical device. The provider may use imaging guidance and bone biopsy in this procedure.
0201T,The provider injects cement material through needles on both sides of a fractured sacrum. The provider may perform this augmentation by creating a cavity in the vertebral body using a balloon or mechanical device. The provider may use imaging guidance and bone biopsy in this procedure.
0202T,"The provider replaces one or more joints, at a single lumbar vertebral level, with a prosthetic device under fluoroscopic guidance. The procedure stabilizes the spine and retains the normal motion of the vertebrae."
0203T,No Summary found for this code
0204T,No Summary found for this code
0205T,No Summary found for this code
0206T,No Summary found for this code
0207T,The provider uses thermal energy and pressure for treatment of meibomian gland dysfunction that causes dry eye syndrome. 
0208T,The provider uses air conduction mode in the test system to test the hearing threshold level of the patient and establish the type of hearing loss.
0209T,The provider uses both air and bone conduction modes to test the hearing threshold of the patient and establish the type of hearing loss.
0210T,The provider presents the patient with a series of words at varying volumes and measures his ability to recognize familiar words and repeat them. This test evaluates the patient’s ability to understand speech.
0211T,The provider presents the patient with series of words at varying volumes and measures the patient’s ability to recognize familiar words and repeat them. This test measures the patient’s ability to understand speech and helps determine whether the patient could benefit from a hearing aid.
0212T,The provider evaluates hearing disorders using both air and bone conduction modes to test the hearing threshold level of the patient and measure his ability to recognize familiar words and repeat them. The evaluation establishes the type of hearing loss and determines whether the patient would benefit from a hearing aid.
0213T,The provider injects a diagnostic or therapeutic agent under ultrasound guidance into a single cervical or thoracic paravertebral facet joint or the spinal nerves that exit the joint. He performs the procedure to relieve pain or to administer an anesthetic for a surgical procedure.
0214T,The provider injects a diagnostic or therapeutic agent under ultrasound guidance into an additional cervical or thoracic paravertebral facet joint or the nerves that exit the joint. He performs the procedure to relieve pain or to administer an anesthetic for a surgical procedure.
0215T,The provider injects a diagnostic or therapeutic agent under ultrasound guidance at one or more additional cervical or thoracic paravertebral facet joints or the nerves that exit the joints. He performs the procedure to relieve pain or to administer an anesthetic for a surgical procedure.
0216T,The provider injects a diagnostic or therapeutic agent under ultrasound guidance into a single lumbar or sacral paravertebral facet joint or the nerves that exit the joint. He performs the procedure to relieve pain or to administer an anesthetic for a surgical procedure.
0217T,The provider injects a diagnostic or therapeutic agent into an additional lumbar or sacral paravertebral facet joint or the nerves that exit the joint under ultrasound guidance. He performs the procedure to relieve pain or to administer an anesthetic for a surgical procedure.
0218T,The provider injects a diagnostic or therapeutic agent under ultrasound guidance at a third level of the lumbar or sacral paravertebral facet joints or the nerves that exit the joints. He may also inject the drug at additional levels. He performs this procedure to relieve pain or to administer anesthetic for a surgical procedure.
0219T,The provider implants an allograft or a synthetic spacer into the facet joint of the cervical vertebrae under image guidance.  This procedure expands and stabilizes the facet joint space and lessens pain due to degenerative changes or trauma in the cervical vertebrae region.
0220T,The provider implants an allograft or a synthetic spacer into the facet joint of the thoracic vertebrae under image guidance. This procedure expands and stabilizes the facet joint space and lessens pain due to degenerative changes or trauma in the thoracic vertebral region.
0221T,The provider implants an allograft or a synthetic spacer into the facet joint at a single level of the lumbar vertebrae under image guidance. This procedure expands and stabilizes the facet joint space and lessens pain due to degenerative changes or trauma in the lumbar vertebral region.
0222T,"After placement of a posterior intrafacet implant in the cervical, thoracic, or lumbar vertebra, the provider inserts a graft or synthetic spacer into one or more additional facet joints under imaging guidance This expands and stabilizes the facet joint spaces and lessens pain due to degenerative changes or trauma in the vertebral region."
0223T,No Summary found for this code
0224T,No Summary found for this code
0225T,No Summary found for this code
0226T,No Summary found for this code
0227T,No Summary found for this code
0228T,No Summary found for this code
0229T,No Summary found for this code
0230T,No Summary found for this code
0231T,No Summary found for this code
0232T,The provider prepares platelet rich plasma by centrifuging blood collected from the patient and injects it into the site of injury under imaging guidance. The provider performs this procedure to treat sports injuries and to stimulate faster bone repair or healing after various surgeries.
0233T,No Summary found for this code
0234T,The provider restores the blood supply in a narrowed or blocked renal artery. He removes the deposited plaque through an open or percutaneous approach.
0235T,"The provider restores the blood supply in a narrowed or blocked visceral artery, except the renal artery. He removes the deposited plaque through an open or percutaneous approach."
0236T,"In this procedure, the provider restores the blood supply in a narrowed or blocked abdominal aorta. He removes the deposited plaque through an open or percutaneous approach."
0237T,The provider restores the blood supply in a narrowed or blocked portion of the brachiocephalic trunk and branches. He removes the deposited plaque through an open or percutaneous approach.
0238T,The provider restores the blood supply in a narrowed or blocked portion or branch of the iliac artery. He removes the deposited plaque through an open or percutaneous approach.
0239T,No Summary found for this code
0240T,No Summary found for this code
0241T,No Summary found for this code
0242T,No Summary found for this code
0243T,No Summary found for this code
0244T,No Summary found for this code
0245T,No Summary found for this code
0246T,No Summary found for this code
0247T,No Summary found for this code
0248T,No Summary found for this code
0249T,No Summary found for this code
0250T,No Summary found for this code
0251T,No Summary found for this code
0252T,No Summary found for this code
0253T,The provider drains the aqueous fluid from the eye to lower intraocular pressure in a patient with glaucoma.
0254T,No Summary found for this code
0255T,No Summary found for this code
0256T,No Summary found for this code
0257T,No Summary found for this code
0258T,No Summary found for this code
0259T,No Summary found for this code
0260T,No Summary found for this code
0261T,No Summary found for this code
0262T,No Summary found for this code
0263T,"In this procedure, the provider extracts bone marrow from the patient, prepares it, and injects it into the muscles of the patient to treat diseases like end stage peripheral artery disease."
0264T,"In this procedure, the provider prepares the already harvested bone marrow and injects it into the muscles of the patient to treat diseases like end stage peripheral artery disease."
0265T,"In this procedure, the provider extracts bone marrow from the patient, and preserves it for future use to inject into the muscles of the patient to treat diseases like end stage peripheral artery disease."
0266T,"In this procedure, the provider implants or replaces a device consisting of leads and a pulse generator, into the carotid sinus to lower the heart rate and blood pressure of the patient. This occurs due to stimulation of baroreceptors in the carotid arteries that helps to treat resistant hypertension."
0267T,"In this procedure, the provider implants or replaces unilateral leads of a baroreflex activation device, into the carotid sinus to aid in lowering the heart rate and blood pressure of the patient. This occurs due to stimulation of baroreceptors in the carotid arteries that helps to treat resistant hypertension."
0268T,"In this procedure, the provider implants or replaces the pulse generator of a baroreflex activation device, into the carotid sinus to aid in lowering the heart rate and blood pressure of the patient. This occurs due to stimulation of baroreceptors in the carotid arteries that helps to treat resistant hypertension."
0269T,"In this procedure, the provider revises or removes the device consisting of leads and a pulse generator, from the carotid sinus that helps in lowering the heart rate and blood pressure of the patient stimulating the baroreceptors in the carotid arteries and helps to treat resistant hypertension."
0270T,"In this procedure, the provider revises or removes the leads of the baroreflex activation device from the carotid sinus that helps in lowering the heart rate and blood pressure of the patient stimulating the baroreceptors in the carotid arteries and helps to treat resistant hypertension."
0271T,"In this procedure, the provider revises or removes the pulse generator of a baroreflex activation device, from the carotid sinus that helps in lowering the heart rate and blood pressure of the patient stimulating the baroreceptors in the carotid arteries and helps to treat resistant hypertension."
0272T,"In this procedure, the provider evaluates the positioning and efficiency of carotid sinus baroreflex activation system to ensure its proper functioning to treat resistant hypertension in the future. He then interprets the data and reports the findings."
0273T,"In this procedure, the provider evaluates and programs the positioning and efficiency of carotid sinus baroreflex activation system to ensure its proper functioning to treat resistant hypertension in future. He then interprets the data and reports the findings."
0274T,The provider alleviates painful pressure on the nerve by increasing the amount of space available for the nerve root to exit the spinal canal. He may use different percutaneous techniques under indirect imaging guidance to treat a herniated or bulging disc at a single or multiple levels of the cervical or thoracic region.
0275T,The provider alleviates painful pressure on the nerve by increasing the amount of space available for the nerve root to exit the spinal canal. He may use different percutaneous techniques under indirect imaging guidance to treat a herniated or bulging disc at a single or multiple levels of the lumbar region.
0276T,No Summary found for this code
0277T,No Summary found for this code
0278T,"In this procedure, the provider places electrodes on the body of the patient to alleviate pain by passing signals to the brain."
0279T,No Summary found for this code
0280T,No Summary found for this code
0281T,No Summary found for this code
0282T,No Summary found for this code
0283T,No Summary found for this code
0284T,No Summary found for this code
0285T,No Summary found for this code
0286T,No Summary found for this code
0287T,No Summary found for this code
0288T,No Summary found for this code
0289T,No Summary found for this code
0290T,"In this procedure, the provider uses laser beam to make an incision in the cornea of the recipient so that the donor cornea fits exactly into the eye during the corneal transplant."
0291T,No Summary found for this code
0292T,No Summary found for this code
0293T,No Summary found for this code
0294T,No Summary found for this code
0295T,No Summary found for this code
0296T,No Summary found for this code
0297T,No Summary found for this code
0298T,No Summary found for this code
0299T,No Summary found for this code
0300T,No Summary found for this code
0301T,No Summary found for this code
0302T,No Summary found for this code
0303T,No Summary found for this code
0304T,No Summary found for this code
0305T,No Summary found for this code
0306T,No Summary found for this code
0307T,No Summary found for this code
0308T,The provider removes the patient's natural lens or a previously placed intraocular synthetic lens and implants an ocular telescope in a patient with advanced age–related macular degeneration to enhance the size of the image and improve the patient’s vision.
0309T,No Summary found for this code
0310T,No Summary found for this code
0311T,No Summary found for this code
0312T,The provider implants a device that consists of nerve stimulating electrodes and a pulse generator to control hunger in a patient and treat morbid obesity.
0313T,The provider revises or replaces the nerve stimulating electrodes and connects them to the pulse generator to control hunger in a patient and treat morbid obesity.
0314T,"The provider removes the vagus nerve blocking device that consists of nerve stimulating electrodes and a pulse generator, which controls hunger in a patient and treats morbid obesity. The provider removes the device because it is no longer needed or is ineffective."
0315T,The provider removes the pulse generator from a vagus nerve blocking nerve stimulating electrode array that helps to control hunger in a patient and treats morbid obesity. The provider removes the device because it is no longer needed or is ineffective.
0316T,"In this procedure, the provider replaces the pulse generator with a new one and connects it to the vagus nerve blocking nerve stimulating electrode array that helps to control hunger in a patient and treat morbid obesity."
0317T,The provider analyzes and programs the previously placed device that consists of nerve stimulating electrodes and a pulse generator that controls hunger in a patient and treats morbid obesity.
0318T,No Summary found for this code
0319T,No Summary found for this code
0320T,No Summary found for this code
0321T,No Summary found for this code
0322T,No Summary found for this code
0323T,No Summary found for this code
0324T,No Summary found for this code
0325T,No Summary found for this code
0326T,No Summary found for this code
0327T,No Summary found for this code
0328T,No Summary found for this code
0329T,A special lens device monitors a patient's intraocular pressure for a day or more. The provider interprets the data and provides a report with the findings.
0330T,The provider assesses tear film thickness based on data from a specially designed imaging device. The provider interprets the data and provides a report with the findings.
0331T,Use this code for planar myocardial sympathetic innervation imaging.
0332T,Use this code for SPECT myocardial sympathetic innervation imaging.
0333T,"This is an automated test that records the response from visual stimuli in the form of electrical signals produced by the brain's occipital region. The responses are recorded through electrodes placed on the patient's scalp and interpreted through an output of EEG study, and the provider prepares a report."
0334T,No Summary found for this code
0335T,The provider attaches a synthetic implant on the soft tissues between the ankle and heel bones to treat hyperpronation of the foot.
0336T,No Summary found for this code
0337T,No Summary found for this code
0338T,The physician uses a percutaneous approach to deliver radiofrequency energy to the endoluminal surface of the renal artery on one side of the body.
0339T,The physician uses a percutaneous approach to deliver radiofrequency energy to the endoluminal surface of renal arteries on both sides of the body.
0340T,No Summary found for this code
0341T,No Summary found for this code
0342T,"The provider draws blood from the patient and removes the low density lipoprotein, or LDL, the so called bad cholesterol, from the plasma. He infuses the red blood cells and the remaining filtered plasma back into the patient. The provider performs this procedure to treat hypercholesterolemia."
0343T,No Summary found for this code
0344T,No Summary found for this code
0345T,The provider repairs any defect in the mitral valve through a catheter that he inserts percutaneously to treat conditions like stenosis or regurgitation of the mitral valve.
0346T,No Summary found for this code
0347T,"The provider places multiple tantalum beads in the interstitial spaces of the bones and obtains a two dimensional image to measure the motion, quality, and wear of an implant or prosthesis."
0348T,"The provider interprets two dimensional images of the spine, which may include the cervical, thoracic, lumbar, and sacral vertebrae, to analyze the motion, quality, and wear of an implant or prosthesis with the aid of previously placed tantalum markers."
0349T,"The provider interprets two dimensional images of the upper extremity, which may include the shoulder, elbow, and or wrist, to analyze the motion, quality, and wear of an implant or prosthesis with the aid of previously placed tantalum markers."
