Hospital,Description,CPT,Charge
Garfield Medical Center,"Urinalysis, without microscopy",81003,32.2
Garfield Medical Center,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62311,18406
Garfield Medical Center,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,23195
Garfield Medical Center,Laparoscopic Cholecystectomy,47562,40868
Garfield Medical Center,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,28018
Garfield Medical Center,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,32196
Garfield Medical Center,Removal Tunneled CV Cath,36589,4137
Garfield Medical Center,"Removal of implant; deep (eg, buried wire, pin, screw, metal band, nail, rod or plate)",20680,42659
Garfield Medical Center,"Percutaneous vertebral augmentation, including cavity creation ",22523,75296
Garfield Medical Center,"Septoplasty or submucous resection, with or without cartilage, replacement with graft",30520,38676
Garfield Medical Center,"Percutaneous vertebral augmentation, including cavity creation vertebral body",22524,73146
Garfield Medical Center,Insert new or replace of permanent pacemaker with transvenous electrode(s); ,33208,122912
Garfield Medical Center,"Insert or replaceof permpacing cardi-defibril system with trans lead(s), single or dual ",33249,226413
Garfield Medical Center,"Transfusion, blood or blood components",36430,16781
Garfield Medical Center,Tonsillectomy and adenoidectomy; younger than age 12,42820,32196
Garfield Medical Center,"Esophagogastroduodeno, flexible, trans;direct place of percut gastomy tube",43246,49176
Garfield Medical Center,"Urinalysis, with microscopy",81001,174.9
Garfield Medical Center,"Urinalysis, with microscopy",81000,174.9
Garfield Medical Center,"Hernia Repair, Inguinal, 5 years and older",49505,33661
Garfield Medical Center,"Excision, Breast Lesion",19120,31077
Garfield Medical Center,"Endoscopy, Upper GI, diagnostic",43235,15234
Garfield Medical Center,"Endoscopy, Upper GI, with biopsy",43239,14215
Garfield Medical Center,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,1956
Garfield Medical Center,"X-Ray, Lower Back, four views",72110,1487
Garfield Medical Center,"X-Ray, Chest, two views",71020,880.37
Garfield Medical Center,"Cardiac Catheterization, Left Heart, percutaneous ",93452,16693
Garfield Medical Center,"Echocardiography, complete",93307,2909
Garfield Medical Center,"Electrocardiogram, routine, with interpretation and report",93000,0
Garfield Medical Center,"Inhalation Treatment, pressurized or nonpressurized",94640,393
Garfield Medical Center,"Physical Therapy, Evaluation",97001,1020
Garfield Medical Center,"CT Scan, Pelvis, with contrast",72193,6243.3
Garfield Medical Center,"Physical Therapy, Gait Training",97116,245
Garfield Medical Center,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,34073
Garfield Medical Center,"Arthroscopy, Shoulder, with partial acromioplasty",29826,79776
Garfield Medical Center,Carpal Tunnel Surgery,64721,20453
Garfield Medical Center,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,27105
Garfield Medical Center,"Colonoscopy, diagnostic",45378,11524
Garfield Medical Center,"Colonoscopy, with biopsy",45380,13014
Garfield Medical Center,"Colonoscopy, with lesion removal, by snare technique",45385,14942
Garfield Medical Center,"Discission, secondary membranous cataract, laser surgery",66821,0
Garfield Medical Center,"Physical Therapy, Therapeutic Exercise",97110,253.83
Garfield Medical Center,"Urinalysis, without microscopy",81002,32.2
Garfield Medical Center,"Mammography, Screening, Bilateral",77057,453.6
Garfield Medical Center,"MRI, Head or Brain, without contrast, followed by contrast",70553,8263
George L Mee Memorial Hospital,Basic Metabolic Panel,80048,453
George L Mee Memorial Hospital,"Electrocardiogram, routine, with interpretation and report",93000,
George L Mee Memorial Hospital,"Inhalation Treatment, pressurized or nonpressurized",94640,424
George L Mee Memorial Hospital,"Physical Therapy, Gait Training",97116,232
George L Mee Memorial Hospital,"Physical Therapy, Therapeutic Exercise",97110,259
George L Mee Memorial Hospital,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,
George L Mee Memorial Hospital,"Arthroscopy, Shoulder, with partial acromioplasty",29826,
George L Mee Memorial Hospital,Carpal Tunnel Surgery,64721,
George L Mee Memorial Hospital,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,
George L Mee Memorial Hospital,"Colonoscopy, diagnostic",45378,
George L Mee Memorial Hospital,"Colonoscopy, with biopsy",45380,
George L Mee Memorial Hospital,"Colonoscopy, with lesion removal, by snare technique",45385,
George L Mee Memorial Hospital,"Discission, secondary membranous cataract, laser surgery",66821,
George L Mee Memorial Hospital,"Endoscopy, Upper GI, with biopsy",43239,
George L Mee Memorial Hospital,"Endoscopy, Upper GI, diagnostic",43235,
George L Mee Memorial Hospital,"Excision, Breast Lesion, without preoperative radiological marker",19120,
George L Mee Memorial Hospital,"Hernia Repair, Inguinal, 5 years and older",49505,
George L Mee Memorial Hospital,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,
George L Mee Memorial Hospital,Laparoscopic Cholecystectomy,47562,
George L Mee Memorial Hospital,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,
George L Mee Memorial Hospital,"Echocardiography, Transthoracic, complete, without Doppler",93307,3142
George L Mee Memorial Hospital,"Outpatient Visit, established patient, 15 minutes",99213,
George L Mee Memorial Hospital,"Cardiac Catheterization, Left Heart, percutaneous ",93452,
George L Mee Memorial Hospital,"X-Ray, Lower Back, minimum four views",72110,1463
George L Mee Memorial Hospital,"Blood Gas Analysis, including 02 saturation",82805,
George L Mee Memorial Hospital,"Complete Blood Count, automated",85027,243
George L Mee Memorial Hospital,"Complete Blood Count, with differential WBC, automated",85025,375
George L Mee Memorial Hospital,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,4724
George L Mee Memorial Hospital,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,3423
George L Mee Memorial Hospital,"Emergency Room Visit, Level 3 (moderate severity)",99283,1922
George L Mee Memorial Hospital,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,1001
George L Mee Memorial Hospital,Comprehensive Metabolic Panel,80053,776
George L Mee Memorial Hospital,"Creatine Kinase (CK), (CPK), Total",82550,315
George L Mee Memorial Hospital,"X-Ray, Chest, two views",71046,786
George L Mee Memorial Hospital,Lipid Panel,80061,394
George L Mee Memorial Hospital,Prothrombin Time,85610,244
George L Mee Memorial Hospital,Thyroid Stimulating Hormone,84443,313
George L Mee Memorial Hospital,"CT Scan, Abdomen, with contrast",74160,5900
George L Mee Memorial Hospital,"CT Scan, Head or Brain, without contrast",70450,4652
George L Mee Memorial Hospital,"CT Scan, Pelvis, with contrast",72193,6020
George L Mee Memorial Hospital,"Mammography, Screening, Bilateral",77067,677
George L Mee Memorial Hospital,"MRI, Brain, without contrast, followed by contrast",70553,8670
George L Mee Memorial Hospital,"Ultrasound, Abdomen, Complete",76700,2291
George L Mee Memorial Hospital,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,1665
George L Mee Memorial Hospital,Partial Thromboplastin Time,85730,322
George L Mee Memorial Hospital,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,
George L Mee Memorial Hospital,"Troponin, Quantitative",84484,514
George L Mee Memorial Hospital,"Urinalysis, with microscopy",81001,266
George L Mee Memorial Hospital,"Urinalysis, with microscopy",81000,266
George L Mee Memorial Hospital,"Urinalysis, without microscopy",81003,219
George L Mee Memorial Hospital,"Urinalysis, without microscopy",81002,219
George L Mee Memorial Hospital,"Physical Therapy, Evaluation",97161,581
George L Mee Memorial Hospital,"Physical Therapy, Evaluation",97162,581
George L Mee Memorial Hospital,"Physical Therapy, Evaluation",97163,581
George L Mee Memorial Hospital,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322,
George L Mee Memorial Hospital,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62323,
Glendale Memorial Hospital,"Echocardiography, Transthoracic, complete, without Doppler",93307,
Glendale Memorial Hospital,"Urinalysis, with microscopy",81001,143
Glendale Memorial Hospital,"Urinalysis, with microscopy",81000,143
Glendale Memorial Hospital,"Urinalysis, without microscopy",81003,94
Glendale Memorial Hospital,"Urinalysis, without microscopy",81002,94
Glendale Memorial Hospital,"Physical Therapy, Evaluation",97161,
Glendale Memorial Hospital,"Physical Therapy, Evaluation",97162,
Glendale Memorial Hospital,"Physical Therapy, Evaluation",97163,
Glendale Memorial Hospital,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322,
Glendale Memorial Hospital,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62323,
Glendale Memorial Hospital,"Colonoscopy, diagnostic",45378,
Glendale Memorial Hospital,"Colonoscopy, with biopsy",45380,
Glendale Memorial Hospital,"Colonoscopy, with lesion removal, by snare technique",45385,
Glendale Memorial Hospital,"Cardiac Catheterization, Left Heart, percutaneous ",93452,
Glendale Memorial Hospital,"Discission, secondary membranous cataract, laser surgery",66821,
Glendale Memorial Hospital,"Endoscopy, Upper GI, with biopsy",43239,
Glendale Memorial Hospital,"Endoscopy, Upper GI, diagnostic",43235,
Glendale Memorial Hospital,"Excision, Breast Lesion, without preoperative radiological marker",19120,
Glendale Memorial Hospital,"Hernia Repair, Inguinal, 5 years and older",49505,
Glendale Memorial Hospital,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,
Glendale Memorial Hospital,Laparoscopic Cholecystectomy,47562,
Glendale Memorial Hospital,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,
Glendale Memorial Hospital,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,
Glendale Memorial Hospital,Carpal Tunnel Surgery,64721,
Glendale Memorial Hospital,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,
Glendale Memorial Hospital,"X-Ray, Chest, two views",71046,641
Glendale Memorial Hospital,"X-Ray, Lower Back, minimum four views",72110,1455
Glendale Memorial Hospital,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,1069
Glendale Memorial Hospital,"Ultrasound, Abdomen, Complete",76700,2026
Glendale Memorial Hospital,"MRI, Brain, without contrast, followed by contrast",70553,7918
Glendale Memorial Hospital,"Mammography, Screening, Bilateral",77067,
Glendale Memorial Hospital,"CT Scan, Pelvis, with contrast",72193,7087
Glendale Memorial Hospital,"CT Scan, Head or Brain, without contrast",70450,3404
Glendale Memorial Hospital,"CT Scan, Abdomen, with contrast",74160,3422
Glendale Memorial Hospital,"Troponin, Quantitative",84484,296
Glendale Memorial Hospital,Thyroid Stimulating Hormone,84443,443
Glendale Memorial Hospital,Prothrombin Time,85610,184
Glendale Memorial Hospital,Partial Thromboplastin Time,85730,196
Glendale Memorial Hospital,Lipid Panel,80061,306
Glendale Memorial Hospital,"Creatine Kinase (CK), (CPK), Total",82550,166
Glendale Memorial Hospital,Comprehensive Metabolic Panel,80053,460
Glendale Memorial Hospital,"Complete Blood Count, with differential WBC, automated",85025,224
Glendale Memorial Hospital,"Complete Blood Count, automated",85027,217
Glendale Memorial Hospital,"Blood Gas Analysis, including 02 saturation",82805,1714
Glendale Memorial Hospital,Basic Metabolic Panel,80048,430
Glendale Memorial Hospital,"Outpatient Visit, established patient, 15 minutes",99213,217
Glendale Memorial Hospital,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,3658
Glendale Memorial Hospital,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,2162
Glendale Memorial Hospital,"Emergency Room Visit, Level 3 (moderate severity)",99283,1400
Glendale Memorial Hospital,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,863
Glendale Memorial Hospital,"Electrocardiogram, routine, with interpretation and report",93000,
Glendale Memorial Hospital,"Inhalation Treatment, pressurized or nonpressurized",94640,
Glendale Memorial Hospital,"Physical Therapy, Gait Training",97116,
Glendale Memorial Hospital,"Physical Therapy, Therapeutic Exercise",97110,
Glendale Memorial Hospital,"Arthroscopy, Shoulder, with partial acromioplasty",29826,
Glendale Memorial Hospital,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,
Goleta Valley Cottage Hospital,"Colonoscopy, with lesion removal, by snare technique",45385,
Goleta Valley Cottage Hospital,"Emergency Room Visit, Level 3 (moderate severity)",99283,1006
Goleta Valley Cottage Hospital,"Electrocardiogram, routine, with interpretation and report",93000,
Goleta Valley Cottage Hospital,"Inhalation Treatment, pressurized or nonpressurized",94640,327.88
Goleta Valley Cottage Hospital,"Physical Therapy, Gait Training",97116,161
Goleta Valley Cottage Hospital,"Physical Therapy, Therapeutic Exercise",97110,309.33
Goleta Valley Cottage Hospital,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,
Goleta Valley Cottage Hospital,"Arthroscopy, Shoulder, with partial acromioplasty",29826,
Goleta Valley Cottage Hospital,Carpal Tunnel Surgery,64721,
Goleta Valley Cottage Hospital,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,
Goleta Valley Cottage Hospital,"Colonoscopy, diagnostic",45378,
Goleta Valley Cottage Hospital,"Colonoscopy, with biopsy",45380,
Goleta Valley Cottage Hospital,"Discission, secondary membranous cataract, laser surgery",66821,
Goleta Valley Cottage Hospital,"Endoscopy, Upper GI, with biopsy",43239,
Goleta Valley Cottage Hospital,"Endoscopy, Upper GI, diagnostic",43235,
Goleta Valley Cottage Hospital,"Excision, Breast Lesion, without preoperative radiological marker",19120,
Goleta Valley Cottage Hospital,"Hernia Repair, Inguinal, 5 years and older",49505,
Goleta Valley Cottage Hospital,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,
Goleta Valley Cottage Hospital,Laparoscopic Cholecystectomy,47562,
Goleta Valley Cottage Hospital,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,
Goleta Valley Cottage Hospital,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,
Goleta Valley Cottage Hospital,"Echocardiography, Transthoracic, complete",93307,
Goleta Valley Cottage Hospital,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,575
Goleta Valley Cottage Hospital,"Cardiac Catheterization, Left Heart, percutaneous ",93452,
Goleta Valley Cottage Hospital,"X-Ray, Lower Back, minimum four views",72110,910
Goleta Valley Cottage Hospital,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,1672
Goleta Valley Cottage Hospital,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,2432
Goleta Valley Cottage Hospital,"Outpatient Visit, established patient, 15 minutes",99213,348.5
Goleta Valley Cottage Hospital,Basic Metabolic Panel,80048,303
Goleta Valley Cottage Hospital,"Blood Gas Analysis, including 02 saturation",82805,396
Goleta Valley Cottage Hospital,"Complete Blood Count, automated",85027,113
Goleta Valley Cottage Hospital,"Creatine Kinase (CK), (CPK), Total",82550,57
Goleta Valley Cottage Hospital,Lipid Panel,80061,247
Goleta Valley Cottage Hospital,Partial Thromboplastin Time,85730,105.2
Goleta Valley Cottage Hospital,Prothrombin Time,85610,135
Goleta Valley Cottage Hospital,Thyroid Stimulating Hormone,84443,241
Goleta Valley Cottage Hospital,"Troponin, Quantitative",84484,279
Goleta Valley Cottage Hospital,"CT Scan, Abdomen, with contrast",74160,
Goleta Valley Cottage Hospital,"CT Scan, Head or Brain, without contrast",70450,2005
Goleta Valley Cottage Hospital,"CT Scan, Pelvis, with contrast",72193,3310
Goleta Valley Cottage Hospital,"Mammography, Screening, Bilateral",77067,453
Goleta Valley Cottage Hospital,"MRI, Brain, without contrast, followed by contrast",70553,
Goleta Valley Cottage Hospital,"Ultrasound, Abdomen, Complete",76700,1012
Goleta Valley Cottage Hospital,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,934
Goleta Valley Cottage Hospital,"X-Ray, Chest, two views",71046,445
Goleta Valley Cottage Hospital,"Complete Blood Count, with differential WBC, automated",85025,150
Goleta Valley Cottage Hospital,Comprehensive Metabolic Panel,80053,513
Goleta Valley Cottage Hospital,"Urinalysis, without microscopy",81002,75
Goleta Valley Cottage Hospital,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62323,
Goleta Valley Cottage Hospital,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322,
Goleta Valley Cottage Hospital,"Physical Therapy, Evaluation",97163,479
Goleta Valley Cottage Hospital,"Urinalysis, with microscopy",81001,282
Goleta Valley Cottage Hospital,"Urinalysis, with microscopy",81000,282
Goleta Valley Cottage Hospital,"Urinalysis, without microscopy",81003,75
Goleta Valley Cottage Hospital,"Physical Therapy, Evaluation",97162,479
Goleta Valley Cottage Hospital,"Physical Therapy, Evaluation",97161,479
Good Samaritan Hospital - Los Angeles,"Echocardiography, Transthoracic, complete, without Doppler",93307,2500
Good Samaritan Hospital - Los Angeles,"Electrocardiogram, routine, with interpretation and report",93000,
Good Samaritan Hospital - Los Angeles,"Inhalation Treatment, pressurized or nonpressurized",94640,383
Good Samaritan Hospital - Los Angeles,"CT Scan, Pelvis, with contrast",72193,5150
Good Samaritan Hospital - Los Angeles,"Physical Therapy, Gait Training",97116,204
Good Samaritan Hospital - Los Angeles,"Physical Therapy, Therapeutic Exercise",97110,
Good Samaritan Hospital - Los Angeles,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,
Good Samaritan Hospital - Los Angeles,"Arthroscopy, Shoulder, with partial acromioplasty",29826,
Good Samaritan Hospital - Los Angeles,Carpal Tunnel Surgery,64721,
Good Samaritan Hospital - Los Angeles,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,
Good Samaritan Hospital - Los Angeles,"Cardiac Catheterization, Left Heart, percutaneous ",93452,
Good Samaritan Hospital - Los Angeles,"X-Ray, Chest, two views",71046,743
Good Samaritan Hospital - Los Angeles,"X-Ray, Lower Back, minimum four views",72110,868
Good Samaritan Hospital - Los Angeles,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,2275
Good Samaritan Hospital - Los Angeles,Partial Thromboplastin Time,85730,271
Good Samaritan Hospital - Los Angeles,Lipid Panel,80061,211
Good Samaritan Hospital - Los Angeles,"Creatine Kinase (CK), (CPK), Total",82550,174
Good Samaritan Hospital - Los Angeles,Comprehensive Metabolic Panel,80053,731
Good Samaritan Hospital - Los Angeles,"Complete Blood Count, with differential WBC, automated",85025,334
Good Samaritan Hospital - Los Angeles,"Complete Blood Count, automated",85027,220
Good Samaritan Hospital - Los Angeles,"Blood Gas Analysis, including 02 saturation",82805,1200
Good Samaritan Hospital - Los Angeles,Basic Metabolic Panel,80048,676
Good Samaritan Hospital - Los Angeles,"Outpatient Visit, established patient, 15 minutes",99213,
Good Samaritan Hospital - Los Angeles,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,3925
Good Samaritan Hospital - Los Angeles,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,2675
Good Samaritan Hospital - Los Angeles,"Emergency Room Visit, Level 3 (moderate severity)",99283,1725
Good Samaritan Hospital - Los Angeles,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,1060
Good Samaritan Hospital - Los Angeles,"Troponin, Quantitative",84484,
Good Samaritan Hospital - Los Angeles,"CT Scan, Abdomen, with contrast",74160,5150
Good Samaritan Hospital - Los Angeles,"CT Scan, Head or Brain, without contrast",70450,4725
Good Samaritan Hospital - Los Angeles,"Mammography, Screening, Bilateral",77067,712
Good Samaritan Hospital - Los Angeles,"MRI, Brain, without contrast, followed by contrast",70553,6800
Good Samaritan Hospital - Los Angeles,"Ultrasound, Abdomen, Complete",76700,2275
Good Samaritan Hospital - Los Angeles,"Colonoscopy, diagnostic",45378,
Good Samaritan Hospital - Los Angeles,"Colonoscopy, with biopsy",45380,
Good Samaritan Hospital - Los Angeles,"Endoscopy, Upper GI, diagnostic",43235,
Good Samaritan Hospital - Los Angeles,"Discission, secondary membranous cataract, laser surgery",66821,
Good Samaritan Hospital - Los Angeles,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,
Good Samaritan Hospital - Los Angeles,"Colonoscopy, with lesion removal, by snare technique",45385,
Good Samaritan Hospital - Los Angeles,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,
Good Samaritan Hospital - Los Angeles,Laparoscopic Cholecystectomy,47562,
Good Samaritan Hospital - Los Angeles,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,
Good Samaritan Hospital - Los Angeles,"Hernia Repair, Inguinal, 5 years and older",49505,
Good Samaritan Hospital - Los Angeles,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62323,
Good Samaritan Hospital - Los Angeles,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322,
Good Samaritan Hospital - Los Angeles,"Physical Therapy, Evaluation",97163,
Good Samaritan Hospital - Los Angeles,Thyroid Stimulating Hormone,84443,211
Good Samaritan Hospital - Los Angeles,"Physical Therapy, Evaluation",97161,
Good Samaritan Hospital - Los Angeles,"Excision, Breast Lesion, without preoperative radiological marker",19120,
Good Samaritan Hospital - Los Angeles,"Urinalysis, without microscopy",81002,
Good Samaritan Hospital - Los Angeles,"Urinalysis, without microscopy",81003,
Good Samaritan Hospital - Los Angeles,"Urinalysis, with microscopy",81000,
Good Samaritan Hospital - Los Angeles,"Urinalysis, with microscopy",81001,
Good Samaritan Hospital - Los Angeles,Prothrombin Time,85610,217
Good Samaritan Hospital - Los Angeles,"Endoscopy, Upper GI, with biopsy",43239,
Good Samaritan Hospital - Los Angeles,"Physical Therapy, Evaluation",97162,
Good Samaritan Hospital - San Jose,Thyroid Stimulating Hormone,84443,1243
Good Samaritan Hospital - San Jose,Prothrombin Time,85610,607
Good Samaritan Hospital - San Jose,Partial Thromboplastin Time,85730,698
Good Samaritan Hospital - San Jose,Lipid Panel,80061,920
Good Samaritan Hospital - San Jose,"Creatine Kinase (CK), (CPK), Total",82550,672
Good Samaritan Hospital - San Jose,Comprehensive Metabolic Panel,80053,2102
Good Samaritan Hospital - San Jose,"Complete Blood Count, with differential WBC, automated",85025,
Good Samaritan Hospital - San Jose,"Outpatient Visit, established patient, 15 minutes",99213,1142
Good Samaritan Hospital - San Jose,"Blood Gas Analysis, including 02 saturation",82805,1672
Good Samaritan Hospital - San Jose,Basic Metabolic Panel,80048,1428
Good Samaritan Hospital - San Jose,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,10147
Good Samaritan Hospital - San Jose,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,6607
Good Samaritan Hospital - San Jose,"Emergency Room Visit, Level 3 (moderate severity)",99283,3391
Good Samaritan Hospital - San Jose,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,2374
Good Samaritan Hospital - San Jose,"Complete Blood Count, automated",85027,679
Good Samaritan Hospital - San Jose,"CT Scan, Head or Brain, without contrast",70450,12072
Good Samaritan Hospital - San Jose,"Mammography, Screening, Bilateral",77067,1448
Good Samaritan Hospital - San Jose,"Troponin, Quantitative",84484,1381
Good Samaritan Hospital - San Jose,"Urinalysis, with microscopy",81000,702
Good Samaritan Hospital - San Jose,"CT Scan, Pelvis, with contrast",72193,12769
Good Samaritan Hospital - San Jose,"Urinalysis, without microscopy",81002,581
Good Samaritan Hospital - San Jose,"Endoscopy, Upper GI, with biopsy",43239,31030
Good Samaritan Hospital - San Jose,"Physical Therapy, Evaluation",97161,1693
Good Samaritan Hospital - San Jose,"Physical Therapy, Evaluation",97162,1693
Good Samaritan Hospital - San Jose,"Physical Therapy, Evaluation",97163,1693
Good Samaritan Hospital - San Jose,"Urinalysis, with microscopy",81001,702
Good Samaritan Hospital - San Jose,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322,24023
Good Samaritan Hospital - San Jose,"Endoscopy, Upper GI, diagnostic",43235,26460
Good Samaritan Hospital - San Jose,"Excision, Breast Lesion, without preoperative radiological marker",19120,37493
Good Samaritan Hospital - San Jose,"Hernia Repair, Inguinal, 5 years and older",49505,44201
Good Samaritan Hospital - San Jose,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,
Good Samaritan Hospital - San Jose,Laparoscopic Cholecystectomy,47562,83285
Good Samaritan Hospital - San Jose,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,34684
Good Samaritan Hospital - San Jose,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,47074
Good Samaritan Hospital - San Jose,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62323,24023
Good Samaritan Hospital - San Jose,"Electrocardiogram, routine, with interpretation and report",93000,1317
Good Samaritan Hospital - San Jose,"Urinalysis, without microscopy",81003,581
Good Samaritan Hospital - San Jose,"Discission, secondary membranous cataract, laser surgery",66821,
Good Samaritan Hospital - San Jose,"MRI, Brain, without contrast, followed by contrast",70553,20637
Good Samaritan Hospital - San Jose,"Ultrasound, Abdomen, Complete",76700,4420
Good Samaritan Hospital - San Jose,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,4178
Good Samaritan Hospital - San Jose,"X-Ray, Lower Back, minimum four views",72110,3184
Good Samaritan Hospital - San Jose,"Electrocardiogram, routine, with interpretation and report",93005,1317
Good Samaritan Hospital - San Jose,"Cardiac Catheterization, Left Heart, percutaneous ",93452,50678
Good Samaritan Hospital - San Jose,"Echocardiography, Transthoracic, complete, without Doppler",93307,9680
Good Samaritan Hospital - San Jose,"Inhalation Treatment, pressurized or nonpressurized",94640,485
Good Samaritan Hospital - San Jose,"X-Ray, Chest, two views",71046,1695
Good Samaritan Hospital - San Jose,"Physical Therapy, Therapeutic Exercise",97110,442
Good Samaritan Hospital - San Jose,"Physical Therapy, Gait Training",97116,399
Good Samaritan Hospital - San Jose,"Colonoscopy, with lesion removal, by snare technique",45385,24137
Good Samaritan Hospital - San Jose,"Colonoscopy, with biopsy",45380,33429
Good Samaritan Hospital - San Jose,"Colonoscopy, diagnostic",45378,22800
Good Samaritan Hospital - San Jose,"CT Scan, Abdomen, with contrast",74160,14895
Good Samaritan Hospital - San Jose,Carpal Tunnel Surgery,64721,34755
Good Samaritan Hospital - San Jose,"Arthroscopy, Shoulder, with partial acromioplasty",29826,79958
Good Samaritan Hospital - San Jose,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,42458
Good Samaritan Hospital - San Jose,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,53086
Greater El Monte Community Hospital,"Mammography, Screening, Bilateral",77057,435
Greater El Monte Community Hospital,"CT Scan, Pelvis, with contrast",72193,4063
Greater El Monte Community Hospital,"CT Scan, Head or Brain, without contrast",70450,3057
Greater El Monte Community Hospital,"CT Scan, Abdomen, with contrast",74160,4739
Greater El Monte Community Hospital,"Troponin, Quantitative",84484,405
Greater El Monte Community Hospital,Thyroid Stimulating Hormone,84443,425
Greater El Monte Community Hospital,Prothrombin Time,85610,281
Greater El Monte Community Hospital,"MRI, Head or Brain, without contrast, followed by contrast",70553,5412
Greater El Monte Community Hospital,"X-Ray, Lower Back, four views",72110,807
Greater El Monte Community Hospital,REMOVE INTRAUTERINE DEVICE,58301,25784
Greater El Monte Community Hospital,"Colonoscopy, with lesion removal, by snare technique",45385,13952
Greater El Monte Community Hospital,"Colonoscopy, with biopsy",45380,13695
Greater El Monte Community Hospital,"Colonoscopy, diagnostic",45378,19133
Greater El Monte Community Hospital,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,20017
Greater El Monte Community Hospital,Carpal Tunnel Surgery,64721,0
Greater El Monte Community Hospital,"Arthroscopy, Shoulder, with partial acromioplasty",29826,0
Greater El Monte Community Hospital,Place Gastrostomy Tube,43246,16180
Greater El Monte Community Hospital,"Physical Therapy, Therapeutic Exercise",97110,192
Greater El Monte Community Hospital,"Physical Therapy, Gait Training",97116,287
Greater El Monte Community Hospital,"Physical Therapy, Evaluation",97001,748
Greater El Monte Community Hospital,"Inhalation Treatment, pressurized or nonpressurized",94640,335
Greater El Monte Community Hospital,"Electrocardiogram, routine, with interpretation and report",93000,0
Greater El Monte Community Hospital,"Echocardiography, complete",93307,1327
Greater El Monte Community Hospital,"Cardiac Catheterization, Left Heart, percutaneous ",93452,0
Greater El Monte Community Hospital,"X-Ray, Chest, two views",71020,613
Greater El Monte Community Hospital,Partial Thromboplastin Time,85730,241
