facility_desc,site_address1,site_address2,site_city,site_zip,site_x_coordinate,site_y_coordinate,oshpd_id,license_type_desc,license_category_desc,license_number,facility_level_desc,er_service_level_desc,licensed_beds,facility_status_desc,financial_facility_count,consolidated_facility_desc_pipe,consolidated_facility_desc_comma,period_begin_date,period_end_date,net_pat_rev_medicare_traditional_ip,net_pat_rev_medicare_managed_ip,net_pat_rev_medi_cal_traditional_ip,net_pat_rev_medi_cal_managed_ip,net_pat_rev_county_indigent_traditional_ip,net_pat_rev_county_indigent_managed_ip,net_pat_rev_third_party_traditional_ip,net_pat_rev_third_party_managed_ip,net_pat_rev_other_indigent_ip,net_pat_rev_other_payer_ip,net_pat_rev_total_ip,net_pat_rev_medicare_traditional_op,net_pat_rev_medicare_managed_op,net_pat_rev_medi_cal_traditional_op,net_pat_rev_medi_cal_managed_op,net_pat_rev_county_indigent_traditional_op,net_pat_rev_county_indigent_managed_op,net_pat_rev_third_party_traditional_op,net_pat_rev_third_party_managed_op,net_pat_rev_other_indigent_op,net_pat_rev_other_payer_op,net_pat_rev_total_op,payer_mix_medicare_traditional_ip,payer_mix_medicare_traditional_ip_state,payer_mix_medicare_managed_ip,payer_mix_medicare_managed_ip_state,payer_mix_medi_cal_traditional_ip,payer_mix_medi_cal_traditional_ip_state,payer_mix_medi_cal_managed_ip,payer_mix_medi_cal_managed_ip_state,payer_mix_county_indigent_traditional_ip,payer_mix_county_indigent_traditional_ip_state,payer_mix_county_indigent_managed_ip,payer_mix_county_indigent_managed_ip_state,payer_mix_third_party_traditional_ip,payer_mix_third_party_traditional_ip_state,payer_mix_third_party_managed_ip,payer_mix_third_party_managed_ip_state,payer_mix_other_indigent_ip,payer_mix_other_indigent_ip_state,payer_mix_other_payer_ip,payer_mix_other_payer_ip_state,payer_mix_medicare_traditional_op,payer_mix_medicare_traditional_op_state,payer_mix_medicare_managed_op,payer_mix_medicare_managed_op_state,payer_mix_medi_cal_traditional_op,payer_mix_medi_cal_traditional_op_state,payer_mix_medi_cal_managed_op,payer_mix_medi_cal_managed_op_state,payer_mix_county_indigent_traditional_op,payer_mix_county_indigent_traditional_op_state,payer_mix_county_indigent_managed_op,payer_mix_county_indigent_managed_op_state,payer_mix_third_party_traditional_op,payer_mix_third_party_traditional_op_state,payer_mix_third_party_managed_op,payer_mix_third_party_managed_op_state,payer_mix_other_indigent_op,payer_mix_other_indigent_op_state,payer_mix_other_payer_op,payer_mix_other_payer_op_state,avg_stay_medicare_traditional,avg_stay_medicare_managed,avg_stay_medi_cal_traditional,avg_stay_medi_cal_managed,avg_stay_county_indigent_traditional,avg_stay_county_indigent_managed,avg_stay_third_party_traditional,avg_stay_third_party_managed,avg_stay_other_indigent_total,avg_stay_other_payer_total,avg_stay_total,active_projects,active_project_costs,active_projects_state,active_project_costs_state,spc_1,spc_2,spc_3,spc_4,spc_5,spc_1_state,spc_2_state,spc_3_state,spc_4_state,spc_5_state,sysdate
BAY AREA COMMUNITY HEALTH - MOWRY L,2299 MOWRY AVE,STE 3B,FREMONT,94538,-121.98179,37.5567,306014097,Clinic,Community Clinic,140000481,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
ALTAMED MEDICAL GROUP - HUNTINGTON BEACH COMMUNITY CLINIC,8041 NEWMAN AVE,,HUNTINGTON BEACH,92647,-117.98815,33.70482,306301807,Clinic,Community Clinic,60000194,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
FULLERTON DIALYSIS,238 ORANGEFAIR MALL,,FULLERTON,92832,-117.92344,33.856437,306301675,Clinic,Chronic Dialysis Clinic,80000682,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
LIVINGSTON COMMUNITY HEALTH ,1140 MAIN ST,,LIVINGSTON,95334,-120.72345,37.37984,306240921,Clinic,Community Clinic,40000176,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
BAART COMMUNITY HEALTHCARE-ZONAL CLINIC,1701 ZONAL AVE,,LOS ANGELES,90033,-118.21066,34.06219,306194670,Clinic,Community Clinic,960000883,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
VALLEY COMMUNITY HEALTHCARE,6801 COLDWATER CANYON AVE,,NORTH HOLLYWOOD,91605,-118.414761,34.19446,306190564,Clinic,Community Clinic,960000122,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
HUMBOLDT OPEN DOOR CLINIC,770 10TH ST,,ARCATA,95521,-124.08612,40.8698,306120983,Clinic,Community Clinic,110000024,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
MARIAN COMMUNITY CLINICS SANTA MARIA,117 W  BUNNY AVE,,SANTA MARIA,93458,-120.43679,34.96327,306424030,Clinic,Community Clinic,50000415,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
PLANNED PARENTHOOD LOS ANGELES- HOLLYWOOD CENTER,1014 1/2 N VERMONT AVE,,LOS ANGELES,90029,-118.2917,34.09004,306190622,Clinic,Community Clinic,960000297,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
NATIVE AMERICAN HEALTH CENTER,160 CAPP ST,,SAN FRANCISCO,94110,-122.418903,37.764055,306380896,Clinic,Community Clinic,220000207,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
GARDNER HEALTH CENTER,195 E VIRGINIA ST,,SAN JOSE,95112,-121.87773,37.32592,306430775,Clinic,Community Clinic,70000045,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"SAN DIEGO DIALYSIS SERVICES, INC. ",3960 3RD AVE,,SAN DIEGO,92103,-117.16277,32.74938,306370661,Clinic,Chronic Dialysis Clinic,80000696,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
NEIGHBORHOOD HEALTHCARE - LAKESIDE,10039 VINE ST,STE 2,LAKESIDE,92040,-116.92118,32.86119,306374164,Clinic,Community Clinic,80000483,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
FRESENIUS MEDICAL CARE EL MONTE,11204 E RUSH ST ,,SOUTH EL MONTE,91733,-118.03286,34.04822,306194684,Clinic,Chronic Dialysis Clinic,930000865,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
LAKE COUNTY TRIBAL HEALTH CONSORTIUM,925 BEVINS CT,,LAKEPORT,95453,-122.92209,39.03771,306174006,Clinic,Community Clinic,110000289,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
MAYVIEW COMMUNITY HEALTH CENTER - PA,270 GRANT AVE,,PALO ALTO,94306,-122.14159,37.42697,306431857,Clinic,Community Clinic,220000433,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
LINDA VISTA HEALTH CARE CENTER,6973 LINDA VISTA RD,,SAN DIEGO,92111,-117.16982,32.78721,306370738,Clinic,Community Clinic,80000069,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
LAMONT COMMUNITY HEALTH CENTER,8787 HALL RD,,LAMONT,93241,-118.90805,35.25967,306151071,Clinic,Community Clinic,120000196,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
PLANNED PARENTHOOD OF PASADENA,1045 N LAKE AVE,,PASADENA,91104,-118.1325,34.16387,306190611,Clinic,Community Clinic,960000134,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
ENCINITAS DIALYSIS,332 SANTA FE DR,STE 100,ENCINITAS,92024,-117.285,33.03625,306374171,Clinic,Chronic Dialysis Clinic,80000502,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"LAGUNA BEACH COMMUNITY CLINIC, INC",362 3RD ST,,LAGUNA BEACH,92651,-117.78087,33.54388,306301235,Clinic,Community Clinic,60000137,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
PLANNED PARENTHOOD LOS ANGELES-CANOGA PARK CENTER,21001 SHERMAN WAY,STE 9,CANOGA PARK,91303,-118.591228,34.201885,306190621,Clinic,Community Clinic,960000137,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
ALTAMED MEDICAL GROUP-E.L.A./WHITTIER,5427 WHITTIER BLVD,,LOS ANGELES,90022,-118.15359,34.01966,306190446,Clinic,Community Clinic,960000102,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
HARBOR COMMUNITY CLINIC,593 W 6TH  ST,,SAN PEDRO,90731,-118.28994,33.73875,306190363,Clinic,Community Clinic,960000085,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
COMMUNITY MEDICAL CENTERS - DIXON,131 W A ST,STE 1 & 3,DIXON,95620,-121.82329,38.44553,306482335,Clinic,Community Clinic,110000152,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
FRESENIUS MEDICAL CARE DIABLO CONCORD,508  CONTRA COSTA BLVD,STE D,PLEASANT HILL,94523,-122.068339,37.980521,306074057,Clinic,Chronic Dialysis Clinic,140000488,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
FRESENIUS MEDICAL CARE DIABLO CENTRAL PITTSBURG,2155 LOVERIDGE RD,,PITTSBURG,94565,-121.86955,38.01045,306074058,Clinic,Chronic Dialysis Clinic,140000489,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
PLANNED PARENTHOOD MAR MONTE,650 N FULTON ST,,FRESNO,93728,-119.80033,36.75218,306100777,Clinic,Community Clinic,40000135,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
NORTHEAST VALLEY HEALTH CORPORATION,1600 SAN FERNANDO RD,,SAN FERNANDO,91340,-118.448461,34.28877,306190567,Clinic,Community Clinic,960000124,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
SANTA BARBARA COMMUNITY DIALYSIS CENTER,222 PESETAS LN,,SANTA BARBARA,93110,-119.75839,34.44355,306420512,Clinic,Chronic Dialysis Clinic,80000662,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
ON LOK SENIOR HEALTH SERVICES,1441 POWELL ST,,SAN FRANCISCO,94133,-122.41037,37.79788,306382725,Clinic,Community Clinic,220000129,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
EAST OAKLAND HEALTH CENTER,7450 INTERNATIONAL BLVD,,OAKLAND,94621,-122.18576,37.7586,306010802,Clinic,Community Clinic,140000028,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
BIO-MEDICAL LONG BEACH COMM HEMODIALYSIS UNIT,440 W OCEAN BLVD,,LONG BEACH,90802,-118.1971,33.76719,306190096,Clinic,Chronic Dialysis Clinic,930000020,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
CENTRAL CITY COMMUNITY HEALTH CENTER,5970 S CENTRAL AVE,,LOS ANGELES,90001,-118.25642,33.98559,306194705,Clinic,Community Clinic,960000901,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
SAN GABRIEL DIALYSIS CENTER,1801 W VALLEY BLVD ,STE 102,ALHAMBRA,91803,-118.14332,34.07742,306194706,Clinic,Chronic Dialysis Clinic,930000869,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
PREMIER DIALYSIS CENTER ,7612 ATLANTIC AVE,,CUDAHY,90201,-118.1872,33.96689,306194707,Clinic,Chronic Dialysis Clinic,930000867,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
CLINICA DE SALUD DEL VALLE DE SALINAS - CASTROVILLE,10561 MERRITT ST,,CASTROVILLE,95012,-121.75963,36.76693,306274030,Clinic,Community Clinic,70000369,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
BMA OXNARD,1801 HOLSER WALK,STE 310,OXNARD,93036,-119.15718,34.22031,306564068,Clinic,Chronic Dialysis Clinic,80000670,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
VISTA COMMUNITY CLINIC - PIER VIEW WAY,818 PIER VIEW WAY,,OCEANSIDE,92054,-117.377534,33.198492,306374180,Clinic,Community Clinic,80000510,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
RAI - FAIRWAY - ROCKLIN,6000 FAIRWAY DR,STE 14,ROCKLIN,95677,-121.26253,38.79191,306314020,Clinic,Chronic Dialysis Clinic,110000466,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
CENTRAL VALLEY INDIAN HEALTH CLINIC PRATHER,29369 AUBERRY RD,STE 102,PRATHER,93651,-119.51793,37.03865,306104069,Clinic,Community Clinic,40000392,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
REDDING DIALYSIS CENTER,1876 PARK MARINA DR,,REDDING,96001,-122.37587,40.58522,306451269,Clinic,Chronic Dialysis Clinic,110000478,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
CHICO FEMINIST WOMENS HEALTH CENTER,1469 HUMBOLDT RD,STE 200,CHICO,95928,-121.81555,39.73511,306041222,Clinic,Community Clinic,230000105,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
WESTERN SIERRA MEDICAL CLINIC,209 NEVADA ST,,DOWNIEVILLE,95936,-120.82953,39.55922,306461280,Clinic,Community Clinic,230000145,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
PLANNED PARENTHOOD OF CONTRA COSTA,1357 OAKLAND COURT,,WALNUT CREEK,94596,-122.07044,37.89772,306071247,Clinic,Community Clinic,140000148,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
PLANNED PARENTHOOD - ANTIOCH,1104 BUCHANAN RD,STE C10,ANTIOCH,94509,-121.82325,37.99868,306072898,Clinic,Community Clinic,140000161,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
PLANNED PARENTHOOD OF CONTRA COSTA-RICHMOND CENTER,2970 HILLTOP MALL RD.,STE 307,SAN PABLO,94806,-122.32965,37.97815,306071248,Clinic,Community Clinic,140000149,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
DIENTES COMMUNITY DENTAL CARE,1830 COMMERCIAL WAY,,SANTA CRUZ,95065,-121.98018,36.98826,306444011,Clinic,Community Clinic,70000386,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
SANTA ROSA BIRTH CENTER,583 SUMMERFIELD RD,,SANTA ROSA,95405,-122.671898,38.452984,306494053,Clinic,Alternative Birthing Center,110000295,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
PLANNED PARENTHOOD-RANCHO MIRAGE CENTER,71777 SAN JACINTO DR,STE 202,RANCHO MIRAGE,92270,-116.41218,33.74363,306334451,Clinic,Community Clinic,250000602,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
COMMUNITY MEDICAL CENTERS - CHANNEL,701 E CHANNEL ST,,STOCKTON,95202,-121.28198,37.95609,306394036,Clinic,Community Clinic,30000561,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
CHINATOWN DIALYSIS,636 CLAY ST,,SAN FRANCISCO,94111,-122.40375,37.79462,306384034,Clinic,Chronic Dialysis Clinic,140000626,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
NEWPORT BEACH DIALYSIS,3333 PACIFIC COAST HWY ,STE 101,NEWPORT BEACH,92663,-117.92699,33.62122,306304188,Clinic,Chronic Dialysis Clinic,80000690,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
INST. FOR MULTICULTURAL COUNSELING & ED. SVC. INC.,3580 WILSHIRE BLVD,STE 2000,LOS ANGELES,90010,-118.30252,34.06171,306194775,Clinic,Community Clinic,960000918,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
GOLDEN VALLEY HEALTH CENTER,1510 FLORIDA AVE,,MODESTO,95350,-120.99622,37.66605,306504026,Clinic,Community Clinic,30000554,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
